431,859,0,0
532,843,0.0118,0
639,825,0.0236,0
750,812,0.0354,0
863,796,0.0472,0
980,782,0.059,0
1100,766,0.0708,0
1220,751,0.0826,0
1344,735,0.0944,0
1471,720,0.1062,0
1599,704,0.118,0
1730,689,0.1298,0
1863,672,0.1416,0
1997,655,0.1534,0
2135,638,0.1652,0
2274,620,0.177,0
2416,601,0.1888,0
2561,580,0.2006,0
2709,560,0.2124,0
2860,538,0.2242,0
3014,518,0.236,0
3170,497,0.2478,0
3329,478,0.2596,0
3487,460,0.2714,0
426,978,0,0.0118
522,957,0.0118,0.0118
628,944,0.0236,0.0118
742,929,0.0354,0.0118
857,917,0.0472,0.0118
974,902,0.059,0.0118
1095,889,0.0708,0.0118
1218,874,0.0826,0.0118
1342,860,0.0944,0.0118
1470,845,0.1062,0.0118
1600,832,0.118,0.0118
1732,818,0.1298,0.0118
1866,802,0.1416,0.0118
2001,786,0.1534,0.0118
2139,769,0.1652,0.0118
2280,752,0.177,0.0118
2424,734,0.1888,0.0118
2571,716,0.2006,0.0118
2720,696,0.2124,0.0118
2873,677,0.2242,0.0118
3029,656,0.236,0.0118
3187,636,0.2478,0.0118
3346,618,0.2596,0.0118
3507,601,0.2714,0.0118
411,1092,0,0.0236
512,1080,0.0118,0.0236
620,1065,0.0236,0.0236
733,1053,0.0354,0.0236
849,1039,0.0472,0.0236
968,1028,0.059,0.0236
1092,1015,0.0708,0.0236
1215,1003,0.0826,0.0236
1341,989,0.0944,0.0236
1469,976,0.1062,0.0236
1601,964,0.118,0.0236
1734,950,0.1298,0.0236
1868,936,0.1416,0.0236
2004,920,0.1534,0.0236
2144,904,0.1652,0.0236
2286,888,0.177,0.0236
2431,872,0.1888,0.0236
2580,855,0.2006,0.0236
2731,838,0.2124,0.0236
2885,818,0.2242,0.0236
3043,800,0.236,0.0236
3202,782,0.2478,0.0236
3364,766,0.2596,0.0236
3525,751,0.2714,0.0236
399,1216,0,0.0354
505,1202,0.0118,0.0354
615,1192,0.0236,0.0354
727,1179,0.0354,0.0354
844,1168,0.0472,0.0354
963,1155,0.059,0.0354
1087,1145,0.0708,0.0354
1212,1132,0.0826,0.0354
1340,1121,0.0944,0.0354
1470,1108,0.1062,0.0354
1602,1097,0.118,0.0354
1736,1085,0.1298,0.0354
1871,1071,0.1416,0.0354
2008,1057,0.1534,0.0354
2148,1042,0.1652,0.0354
2292,1027,0.177,0.0354
2438,1012,0.1888,0.0354
2589,997,0.2006,0.0354
2741,981,0.2124,0.0354
2898,964,0.2242,0.0354
3057,947,0.236,0.0354
3218,932,0.2478,0.0354
3380,917,0.2596,0.0354
3543,903,0.2714,0.0354
390,1336,0,0.0472
499,1328,0.0118,0.0472
610,1316,0.0236,0.0472
724,1307,0.0354,0.0472
840,1294,0.0472,0.0472
958,1284,0.059,0.0472
1083,1273,0.0708,0.0472
1210,1264,0.0826,0.0472
1339,1253,0.0944,0.0472
1470,1242,0.1062,0.0472
1602,1230,0.118,0.0472
1738,1219,0.1298,0.0472
1874,1207,0.1416,0.0472
2012,1195,0.1534,0.0472
2153,1182,0.1652,0.0472
2297,1168,0.177,0.0472
2445,1154,0.1888,0.0472
2597,1140,0.2006,0.0472
2753,1126,0.2124,0.0472
2910,1111,0.2242,0.0472
3071,1096,0.236,0.0472
3233,1081,0.2478,0.0472
3397,1068,0.2596,0.0472
3562,1054,0.2714,0.0472
382,1462,0,0.059
492,1452,0.0118,0.059
606,1445,0.0236,0.059
720,1434,0.0354,0.059
836,1425,0.0472,0.059
956,1414,0.059,0.059
1082,1406,0.0708,0.059
